date=2012-04-02, time=22:23:20, userid=smoffatt, src=192.168.0.1, evt=["logout"]
date=2012-04-02, time=20:42:35, userid=smoffatt, src=192.168.0.1, evt=["login"]
date=2012-04-02, time=3:23:40, userid=smoffatt, src=192.168.0.1, evt=["login_unsuccessful"]
date=2012-04-03, time=22:11:40, userid=smoffatt, src=192.168.0.1, evt=["login"]
date=2012-04-04, time=6:38:25, userid=smoffatt, src=192.168.0.1, evt=["logout"]
date=2012-04-04, time=22:29:31, userid=smoffatt, src=192.168.0.1, evt=["logout"]
date=2012-04-03, time=2:19:28, userid=smoffatt, src=192.168.0.1, evt=["login"]
date=2012-04-02, time=21:25:39, userid=smoffatt, src=192.168.0.1, evt=["login_unsuccessful"]
date=2012-04-04, time=5:55:54, userid=smoffatt, src=192.168.0.1, evt=["password_reset"]
date=2012-04-02, time=8:32:12, userid=smoffatt, src=192.168.0.1, evt=["password_reset"]
